year,numCandidates,africanAmerican,female,hs_pct,poverty,unemp,voter_turnout
2002,3,0,0,0.24,0.39,0.16,55.48
2006,1,0,0,0.24,0.39,0.16,40.38
1990,3,0,0,0.25,0.16,0.04,82.75
1998,2,0,0,0.25,0.16,0.04,61.23
2002,3,0,1,0.25,0.16,0.04,46.57
2010,2,1,0,0.25,0.16,0.04,27.31
1988,2,0,0,0.41,0.13,0.07,80.17
2004,2,0,0,0.41,0.13,0.07,60.49
2008,2,0,0,0.41,0.13,0.07,54.27
1990,4,0,0,0.32,0.26,0.09,75.4
1994,2,0,0,0.32,0.26,0.09,67.93
1998,2,0,0,0.32,0.26,0.09,58.81
2010,2,0,0,0.32,0.26,0.09,35.35
1990,4,0,0,0.24,0.29,0.11,57.1
1994,1,0,0,0.24,0.29,0.11,43.46
1998,2,1,1,0.24,0.29,0.11,29.62
2002,4,1,1,0.24,0.29,0.11,42.2
2006,6,1,1,0.24,0.29,0.11,41.97
2010,3,1,1,0.24,0.29,0.11,37.97
1992,5,1,1,0.27,0.43,0.09,72.87
2000,3,1,1,0.27,0.43,0.09,22.89
2004,6,1,1,0.27,0.43,0.09,59.96
2008,2,0,0,0.27,0.43,0.09,53.89
1988,2,0,0,0.37,0.16,0.09,68.95
1992,2,0,0,0.37,0.16,0.09,65.41
2000,4,0,1,0.37,0.16,0.09,60.12
1990,2,0,0,0.27,0.37,0.16,77.13
1994,2,0,1,0.27,0.37,0.16,74.01
1998,2,0,1,0.27,0.37,0.16,65.11
2002,2,0,1,0.27,0.37,0.16,65.13
2006,2,0,1,0.27,0.37,0.16,54.44
2010,2,0,0,0.27,0.37,0.16,50.81
1990,2,0,0,0.22,0.26,0.07,62.36
1994,2,0,0,0.22,0.26,0.07,53.47
1998,2,0,1,0.22,0.26,0.07,71.72
2006,2,0,1,0.22,0.26,0.07,71.72
1994,2,0,1,0.2,0.12,0.04,69.89
1994,2,0,1,0.36,0.21,0.09,80.07
1998,2,0,1,0.36,0.21,0.09,71.42
2000,2,0,0,0.36,0.21,0.09,59.54
2008,2,1,0,0.35,0.49,0.19,36.49
1992,4,0,1,0.36,0.15,0.1,44.18
1996,2,0,0,0.36,0.15,0.1,6.54
2001,5,1,0,0.36,0.15,0.1,38.12
2004,3,1,0,0.36,0.15,0.1,37.26
1990,2,1,0,0.35,0.28,0.13,72.38
1998,2,1,0,0.35,0.28,0.13,72.92
1990,2,0,0,0.35,0.12,0.1,68.03
1994,3,0,0,0.35,0.12,0.1,63.49
1998,2,0,0,0.35,0.12,0.1,49.64
2010,3,0,1,0.35,0.12,0.1,43.45
2011,3,0,0,0.35,0.12,0.1,51.32
1990,4,1,0,0.25,0.44,0.2,82.3
1994,3,1,1,0.25,0.44,0.2,63.85
1998,5,0,1,0.25,0.44,0.2,57.47
2001,2,0,1,0.25,0.44,0.2,45.43
2002,2,0,1,0.25,0.44,0.2,56.63
2006,2,0,1,0.25,0.44,0.2,39.96
2010,2,1,1,0.25,0.44,0.2,37.33
1993,2,0,0,0.31,0.14,0.06,24.14
