ageSmoke,age,smokingUse,expenditure
15,29,2.708050201,284
16,28,2.459588842,176.6
21,80,3.401197382,1368.76
30,60,2.197224577,795
16,82,0.693147181,1627.09
16,55,2.995732274,705
18,29,1.098612289,62.5
20,67,3.713572067,1616.01
15,51,3.610917913,4141.5
17,42,3.258096538,380
21,79,4.194189897,137.5
20,61,-0.597837001,52883.99
21,70,3.583518938,588.84
16,41,2.564949357,113.3
10,55,4.927253685,501.8
17,21,1.098612289,848.1
13,42,3.80666249,21.9
16,79,3.027715319,1048.67
17,43,3.295836866,215
16,69,3.970291914,8249.03
15,38,2.890371758,75
30,71,2.028148247,2979.95
15,70,4.532599493,226.64
15,50,3.988984047,178.5
20,70,4.356708827,2197.51
20,64,3.80666249,840.75
22,75,4.709530201,42362.19
17,32,2.48490665,1345
24,76,3.970291914,105
17,56,2.302585093,902.05
17,85,3.198673118,3036.05
18,74,3.871201011,2356.99
12,76,-0.597837001,13663.6
42,83,3.401197382,4085.73
15,33,1.894616855,324
24,28,0.916290732,136.19
12,25,2.63905733,241
19,71,2.261763098,17707.22
15,35,1.568615918,148
15,35,2.708050201,57
15,25,0.048790164,221
18,52,3.555348061,7936.28
18,36,2.433613355,150
20,60,1.658228077,25809.13
34,43,1.098612289,142.95
16,71,2.415913778,1080.79
21,48,3.33220451,38.9
15,60,3.666122467,211.5
15,32,1.504077397,4129.7
16,37,2.58021683,89
14,22,1.280933845,421
25,44,-0.510825624,1197.72
16,27,0.875468737,9389.45
16,53,2.00148,286
20,34,2.420368129,648
18,36,2.656756907,466
15,33,2.708050201,698.96
16,52,3.32323584,51
10,67,3.198673118,37.3
16,23,2.772588722,167.5
15,32,1.945910149,379.99
16,21,1.098612289,137
16,23,0.810930216,213.74
19,74,4.025351691,380.81
30,69,2.772588722,215.52
14,28,2.708050201,655
13,48,2.985681938,633.92
18,64,4.25561271,600
20,61,3.737669618,4575.3
18,62,2.442347035,1322.32
18,61,2.219203484,2303.93
16,59,3.218875825,1407.31
16,28,2.970414466,813.5
15,61,4.25561271,320.13
13,26,3.044522438,2133.05
13,46,3.526360525,642.98
15,23,1.504077397,29
12,73,1.916922612,20544.35
17,21,1.32175584,739
16,31,2.564949357,816.53
16,68,2.995732274,331.62
23,67,3.80666249,2267
21,38,-0.105360516,198
19,38,-1.203972804,100
18,65,3.871201011,739.49
14,63,3.624340933,3221.85
16,67,3.951243719,493.66
15,34,2.833213344,2245.73
17,32,2.48490665,48
19,29,1.098612289,85
